Index,m/z,Ret. Time,HMDB ID
0,96.95202,0.654,HMDB0002142
1,121.04066,1.112,HMDB0001406
2,144.04543,7.903,C06338
3,145.06194,0.772,HMDB0003423
4,178.05107,3.661,HMDB0000714
5,187.1088,1.048,HMDB0000446
6,190.05435,2.863,HMDB0011745
7,246.01717,1.022,HMDB0001491
8,288.12006,0.854,HMDB0005765
9,553.27789,10.509,OSI00538
