Index,m/z,RT [min],Molecular Weight,Calibration RT [min]
2913,528.67767,0.738,529.68495,0.738
2914,528.70319,0.684,529.71046,0.684
2915,528.73584,0.756,529.74312,0.756
2916,529.18091,13.248,530.18818,13.248
2917,529.27478,14.633,530.28206,14.633
2918,529.62012,0.706,530.62739,0.706
2919,529.63165,0.725,530.63893,0.725
2920,529.64636,0.734,530.65364,0.734
2921,529.93707,0.796,530.94435,0.796
2922,530.58691,0.714,531.59419,0.714
2923,530.62,0.712,531.62727,0.712
2924,530.76642,0.879,531.7737,0.879
2925,531.17432,0.847,243.08806,0.847
2926,531.25397,13.656,532.26124,13.656
2927,531.28516,13.66,532.29243,13.66
2928,531.29242,3.219,532.2997,3.219
2929,531.6286,0.728,532.63588,0.728
2930,531.7146,0.72,532.72188,0.72
2931,532.17609,3.306,533.18336,3.306
2932,532.23297,10.66,533.24025,10.66
2933,532.62671,0.726,533.63399,0.726
2934,532.75848,0.766,533.76576,0.766
2935,532.75879,0.893,533.76607,0.893
2936,532.948,0.794,533.95527,0.794
2937,533.45721,20.027,534.46449,20.027
2938,533.75006,0.698,534.75734,0.698
2939,534.03241,13.712,535.03969,13.712
2940,534.07642,0.56,1070.16739,0.56
2941,534.07684,0.564,535.08412,0.564
2942,534.48889,21.797,535.49617,21.797
2943,534.69922,0.749,535.7065,0.749
2944,534.94214,0.634,553.95998,0.634
2945,535.08405,2.046,1072.18264,2.046
2946,535.08417,1.1,1072.18289,1.1
2947,535.11188,15.113,536.11915,15.113
2948,535.23004,15.116,536.23732,15.116
2949,535.47266,16.895,536.47993,16.895
2950,535.47296,20.36,536.48024,20.36
2951,535.52026,20.263,536.52754,20.263
2952,535.62097,0.722,536.62825,0.722
2953,535.63647,0.728,536.64375,0.728
2954,535.94366,0.796,536.95094,0.796
2955,536.3717,18.873,537.37898,18.873
2956,536.50458,22.908,537.51185,22.908
2957,536.55457,0.803,537.56184,0.803
2958,536.62042,0.722,537.6277,0.722
2959,536.63379,0.72,537.64107,0.72
2960,537.24091,14.626,538.24818,14.626
2961,537.48853,17.17,538.4958,17.17
2962,537.63281,0.726,538.64009,0.726
2963,537.93427,0.592,538.94154,0.592
2964,538.19318,3.311,539.20045,3.311
2965,538.30511,13.655,539.31239,13.655
2966,538.51996,19.046,539.52724,19.046
2967,538.63049,0.722,539.63777,0.722
2968,538.68762,0.744,539.6949,0.744
2969,538.77985,0.781,501.83124,0.781
2970,538.81274,22.925,539.82002,22.925
2971,539.25092,13.666,540.25819,13.666
2972,539.98663,0.801,480.97278,0.801
2973,540.05341,2.139,541.06068,2.139
2974,540.05347,1.103,541.06074,1.103
2975,540.14246,9.06,541.14973,9.06
2976,540.22009,10.65,541.22737,10.65
2977,540.24542,10.656,541.2527,10.656
