Index,m/z,RT [min],Molecular Weight,Calibration RT [min]
3549,497.24033,9.386,498.2476,9.386
3550,497.65704,0.727,498.66432,0.727
3551,497.67038,0.735,498.67766,0.735
3552,497.6778,0.694,498.68507,0.694
3553,497.9711,0.67,498.97838,0.67
3554,498.00516,0.566,499.01243,0.566
3555,498.2873,15.45166667,499.2946,15.45166667
3556,498.2883,13.42333333,499.2956,13.42333333
3557,498.2893,15.205,499.2966,15.205
3558,498.34332,10.424,499.3506,10.424
3559,498.34351,10.272,499.35078,10.272
3560,498.63748,0.704,499.64476,0.704
3561,498.64224,0.724,517.66008,0.724
3562,498.67023,0.736,499.6775,0.736
3563,498.81866,0.771,499.82594,0.771
3564,499.1757,15.81333333,500.183,15.81333333
3565,499.25876,13.655,500.26604,13.655
3566,499.26981,17.507,500.27708,17.507
3567,499.30289,10.715,500.31016,10.715
3568,499.37933,19.469,500.38661,19.469
3569,499.66833,0.734,500.67561,0.734
3570,499.9682,0.801,500.97548,0.801
3571,499.96823,0.806,464.99883,0.806
3572,499.98782,0.608,500.9951,0.608
3573,500.27832,17.138,501.2856,17.138
3574,500.63483,0.705,501.6421,0.705
3575,500.72708,0.751,501.73436,0.751
3576,500.95035,0.588,1003.91525,0.588
3577,500.97141,0.634,501.97868,0.634
3578,501.13397,15.767,502.14125,15.767
3579,501.2297,16.385,502.237,16.385
3580,501.27441,14.632,502.28169,14.632
3581,501.44247,0.589,1004.8995,0.589
3582,501.93469,0.594,1005.88394,0.594
3583,502.00876,11.382,1006.03207,11.382
3584,502.19757,9.063,503.20485,9.063
3585,502.64865,0.725,503.65593,0.725
3586,502.64893,0.726,467.67952,0.726
3587,502.66574,0.732,503.67302,0.732
3588,502.75281,0.743,467.78341,0.743
3589,503.1503,0.103333333,504.1576,0.103333333
3590,503.1584,0.716666667,504.1657,0.716666667
3591,503.1584,0.716666667,504.1657,0.716666667
3592,503.2429,16.62833333,504.2502,16.62833333
3593,503.3587,18.543,504.36598,18.543
3594,503.64673,0.724,504.65401,0.724
3595,503.8558,0.754,504.86308,0.754
3596,503.95898,0.651,504.96626,0.651
3597,503.96207,0.809,504.96934,0.809
3598,504.05313,14.66,1010.12082,14.66
3599,504.64377,0.725,505.65104,0.725
3600,504.65912,0.733,505.6664,0.733
3601,504.96259,0.641,505.96986,0.641
3602,505.10971,0.817,506.11699,0.817
3603,505.1758,0.756666667,506.1831,0.756666667
3604,505.28186,15.118,506.28914,15.118
3605,505.28207,15.114,392.29649,15.114
3606,505.32806,14.012,506.33534,14.012
3607,505.32806,14.162,506.33534,14.162
3608,505.37469,19.033,506.38197,19.033
3609,505.64291,0.724,506.65019,0.724
3610,505.6669,0.694,506.67418,0.694
3611,505.82663,22.944,506.83391,22.944
3612,505.97809,0.603,253.49268,0.603
3613,505.97842,0.592,506.9857,0.592
3614,505.9867,0.638333333,506.994,0.638333333
3615,505.9867,0.638333333,506.994,0.638333333
3616,505.98801,0.839,506.99528,0.839
3617,506.65646,0.733,507.66374,0.733
3618,506.72113,0.686,507.72841,0.686
3619,506.83176,0.779,507.83903,0.779
3620,507.08078,13.251,508.08806,13.251
3621,507.19846,13.247,508.20573,13.247
3622,507.29309,14.632,508.30037,14.632
3623,507.62613,0.71,508.63341,0.71
3624,507.63968,0.727,508.64696,0.727
3625,507.82837,0.698,508.83565,0.698
3626,507.95486,0.804,508.96214,0.804
3627,508.12131,0.801,509.12858,0.801
3628,508.15018,9.059,509.15745,9.059
3629,508.34094,18.128,509.34822,18.128
3630,508.47324,21.417,509.48051,21.417
3631,508.71829,0.686,509.72557,0.686
3632,508.77158,0.758,509.77885,0.758
3633,509.14706,18.584,510.15434,18.584
3634,509.27249,12.438,510.27977,12.438
3635,509.28781,17.016,510.29509,17.016
3636,509.28815,16.834,510.29542,16.834
3637,509.30255,13.661,510.30983,13.661
3638,509.62006,0.711,510.62733,0.711
3639,509.81317,22.929,510.82045,22.929
3640,509.82513,0.692,510.83241,0.692
3641,509.82532,0.692,474.85592,0.692
3642,510.04544,10.464,1022.10543,10.464
3643,510.04547,10.589,511.05275,10.589
3644,510.04565,10.579,1022.10586,10.579
3645,510.61935,0.712,511.62663,0.712
3646,510.63541,0.723,511.64268,0.723
3647,510.67908,0.742,511.68635,0.742
3648,510.68002,0.744,225.83309,0.744
3649,510.7775,0.763,511.78477,0.763
3650,511.61728,0.713,512.62456,0.713
3651,511.63235,0.725,512.63963,0.725
3652,511.89685,0.777,512.90413,0.777
3653,511.96243,1.048,512.96971,1.048
3654,511.96265,1.047,256.48496,1.047
3655,512.61542,0.713,513.62269,0.713
3656,512.63098,0.724,513.63826,0.724
3657,512.99951,11.389,514.00679,11.389
