Index,m/z,Ret. Time,HMDB ID
0,106.04998,0.813,HMDB0000187
1,126.022,0.817,HMDB0011747
2,166.08603,1.602,HMDB0000159
3,170.08105,0.919,HMDB0000239
4,182.08101,0.851,OSI00498
5,192.06873,2.948,HMDB0011745
6,203.13892,2.193,HMDB0028691
7,290.13449,0.84,HMDB0005765
8,331.28415,17.22,HMDB0005356
9,556.27637,6.234,HMDB0001045
